FacilityId,County,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic,NAME,OBJECTID_1,NAME_1,CLASS_1,POP2012_1,FAC_TYPE,FAC_X,FAC_Y,SOURCE,SOURCE_2,SW_TYPE,SW_ORIGIN,GW_TYPE,GW_ORIGIN,BUYS_FROM,SELLER_FAC,SELLER_X,SELLER_Y,REPORTED_P,SS_2012_GA,P_2012_GAL,TOTAL_2012,SS_2012_MG,P_2012_MGD,Shape_Leng,Shape_Area
IL1430250,Peoria,Dunlap (PWS),3/28/19 14:11,2018,590,0,590,0,0,0,0,0,559,0,31,Dunlap,257,Dunlap,village,1448,municipality,2950797.478,2849383.637,mixed,mixed,river,Illinois River,sand and gravel,Sankoty Aquifer,Illinois American - Peoria,IL1435030,2986173.898,2801737.483,NO,,,,,,27646.94456,15009941.91
IL1630350,St. Clair,Dupo (PWS),4/4/19 15:40,2018,2163,0,2163,0,1317,0,18,0,366,2,460,Dupo,1064,Dupo,village,4208,municipality,2798524.595,2002366.314,groundwater,groundwater,,,sand and gravel,,,,,,YES,115942000,0,115942000,0.317431896,0,89969.06349,121920359.1
IL2010100,Winnebago,Durand (PWS),3/13/19 17:25,2018,557,0,557,0,0,0,0,0,547,0,10,Durand,159,Durand,village,1501,municipality,3046688.714,3421338.012,groundwater,groundwater,,,c-o sandstone,,,,,,YES,54031000,0,54031000,0.147928816,0,39916.62031,25904106.77
IL1050250,Livingston,Dwight (PWS),4/15/19 11:03,2018,1794,2,1792,0,1641,46,0,0,67,0,40,Dwight,572,Dwight,village,4242,municipality,3295187.903,2938470.807,groundwater,groundwater,,,sand and gravel,,,,,,YES,195941000,0,195941000,0.536457221,0,95869.87871,89105539.15
IL1170300,Macoupin,Eagarville (PWS),3/27/19 11:03,2018,51,0,51,0,0,0,0,0,0,0,51,Eagarville,1113,Eagarville,village,127,municipality,2920113.783,2217003.711,surface water,surface water,reservoir,Gillespie Lake,,,Gillespie,IL1170400,2912275.132,2220957.999,NO,,,,,,20761.87695,25582330.49
IL0990150,LaSalle,Earlville (PWS),4/11/19 11:50,2018,694,0,694,0,155,0,7,0,507,0,25,Earlville,527,Earlville,city,1714,municipality,3157175.379,3114745.449,groundwater,groundwater,,,shallow bedrock,,,,,,YES,46392500,0,46392500,0.127015743,0,33781.38779,33238791.12
IL1190200,Madison,East Alton (PWS),3/15/19 6:52,2018,2891,0,2891,0,0,0,493,686,1601,0,111,East Alton,1211,East Alton,village,6186,municipality,2828055.367,2134801.837,groundwater,groundwater,,,sand and gravel,American Bottoms,,,,,YES,518881000,0,518881000,1.420618754,0,102043.9874,152470433.5
IL0850100,Jo Daviess,East Dubuque (PWS),3/19/19 10:22,2018,964,0,964,12,510,430,0,0,0,4,8,East Dubuque,152,East Dubuque,city,1690,municipality,2694964.478,3443817.384,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,73430100,0,73430100,0.201040657,0,111030.8576,80014130.59
IL0890250,Kane,East Dundee (PWS),4/11/19 10:55,2018,1400,0,1400,226,810,0,0,0,358,5,1,East Dundee,679,East Dundee,village,2919,municipality,3336678.55,3301280.743,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,91586.89616,82156386.32
IL0950150,Knox,East Galesburg (PWS),5/9/19 13:08,2018,364,0,364,0,0,0,0,0,364,0,0,East Galesburg,285,East Galesburg,village,813,municipality,2776963.761,2881517.87,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,Galesburg,IL0950200,2759695.251,2884699.221,NO,,,,,,40781.14938,41085534.82
IL0310750,Cook,East Hazel Crest (PWS),5/2/19 14:35,2018,498,0,498,130,0,368,0,0,0,0,0,East Hazel Crest,852,East Hazel Crest,village,1550,municipality,3503818.26,3114924.63,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Harvey,IL0311110,3503038.371,3126390.985,YES,0,54900000,54900000,0,0.150308008,25283.43476,21667536.21
IL1610250,Rock Island,East Moline (PWS),3/18/19 11:38,2018,6400,6400,0,49,6351,0,0,0,0,0,0,East Moline,449,East Moline,city,21255,municipality,2745253.444,3091630.779,surface water,surface water,river,Mississippi River,,,,,,,YES,1537936000,0,1537936000,4.210639288,0,251430.0941,407640888
IL1790200,Tazewell,East Peoria (PWS),3/15/19 13:53,2018,7843,7843,0,250,0,0,0,0,7300,0,293,East Peoria,369,East Peoria,city,23464,municipality,2977698.429,2782464.26,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,1008019000,0,1008019000,2.759805613,0,338677.037,611079973.6
IL1250100,Mason,Easton (PWS),4/1/19 7:53,2018,202,0,202,0,0,0,3,0,199,0,0,Easton,392,Easton,village,328,municipality,2905633.43,2622974.188,groundwater,groundwater,,,sand and gravel,,,,,,YES,9747000,0,9747000,0.026685832,0,16441.65583,6620680.802
IL0490200,Effingham,Edgewood (PWS),4/10/19 9:35,2018,268,0,268,0,0,0,0,0,0,0,268,Edgewood,1237,Edgewood,village,436,municipality,3236540.184,2149157.47,mixed,mixed,reservoir,Cips Lake; Holland Energy Reservoir,sand and gravel,,E J Water Corporation,IL0790010,3316330.277,2199879.404,YES,0,9618000,9618000,0,0.026332649,21168.83224,27899276.76
IL0210150,Christian,Edinburg (PWS),3/25/19 8:39,2018,608,0,608,0,35,100,40,0,400,0,33,Edinburg,1137,Edinburg,village,1090,municipality,3030791.771,2414610.024,groundwater,groundwater,,,sand and gravel,,,,,,YES,40886000,0,40886000,0.111939767,0,26384.41405,17240751.56
IL1190250,Madison,Edwardsville (PWS),4/11/19 8:41,2018,9588,3,9585,0,3239,5123,146,0,0,3,1077,Edwardsville,1210,Edwardsville,city,24414,municipality,2861681.447,2101442.537,groundwater,groundwater,,,sand and gravel,American Bottoms,,,,,NO,,,,,,409274.9911,556152041.6
IL0490250,Effingham,Effingham (PWS),2/7/19 10:35,2018,5372,7,5365,23,5324,0,0,0,15,0,10,Effingham,1236,Effingham,city,12414,municipality,3267633.884,2221148.005,surface water,surface water,reservoir,Cips Lake,,,,,,,YES,770601000,0,770601000,2.109790554,0,263739.7787,273676784.4
IL2030150,Woodford,El Paso (PWS),5/5/19 15:01,2018,1171,0,1171,0,51,0,0,0,1100,0,20,El Paso,952,El Paso,city,2898,municipality,3132883.113,2807292.127,groundwater,groundwater,,,sand and gravel,,,,,,YES,142719000,0,142719000,0.390743326,0,85325.35118,58873694.53
IL0890300,Kane,Elburn (PWS),5/7/19 11:44,2018,2254,0,2254,1,23,0,0,0,2229,0,1,Elburn,612,Elburn,village,5728,municipality,3277711.425,3223587.358,groundwater,groundwater,,,c-o sandstone,,,,,,YES,156225000,0,156225000,0.427720739,0,92788.63067,86430151.24
IL1655030,Saline,Eldorado (PWS),3/14/19 10:09,2018,1993,0,1993,0,1613,0,0,0,250,0,130,Eldorado,120,Eldorado,city,4051,municipality,3304081.357,1747617.711,groundwater,groundwater,,,sand and gravel,,Saline Valley Conservancy District,IL1655300,3328666.491,1723787.364,YES,0,161489000,161489000,0,0.442132786,87126.85882,67056029.25
IL0610100,Greene,Eldred (PWS),4/11/19 18:21,2018,132,0,132,0,47,0,0,0,73,0,12,Eldred,1102,Eldred,village,196,municipality,2703252.365,2281847.108,groundwater,groundwater,,,sand and gravel,,,,,,YES,9753000,0,9753000,0.026702259,0,13132.49515,3687756.453
IL0894380,Kane,Elgin - Mclean St (PWS),4/12/19 17:04,2018,33179,12,33167,11035,7451,0,2,0,14493,198,0,Elgin - Mclean St,678,Elgin,city,109629,municipality,3329879.633,3280097.193,surface water,surface water,river,Fox River,,,,,,,YES,5435000000,0,5435000000,14.88021903,0,791703.4284,1042540113
IL0850150,Jo Daviess,Elizabeth (PWS),3/21/19 7:32,2018,402,0,402,0,347,35,0,0,0,2,18,Elizabeth,417,Elizabeth,village,779,municipality,3345055.335,1617160.741,groundwater,groundwater,,,shallow bedrock,,,,,,YES,23955800,0,23955800,0.065587406,0,41216.55213,21442079.4
IL0690100,Hardin,Elizabethtown (PWS),4/1/19 10:39,2018,189,0,189,0,58,0,42,0,74,0,15,Elizabethtown,135,Elizabethtown,village,299,municipality,3345055.335,1617160.741,groundwater,groundwater,,,shallow bedrock,,,,,,NO,,,,,,18361.00854,17880558.25
IL0314400,Cook,Elk Grove Village (PWS),5/2/19 14:04,2018,12535,0,12535,0,0,0,0,216,12319,0,0,Elk Grove Village,652,Elk Grove Village,village,33011,municipality,3406589.478,3268107.786,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Northwest Suburban Municipal JAWA,IL0315400,3401000,3279000,YES,11949970,1904935000,1916884970,0.032717235,5.215427789,203840.8692,315477652.4
IL1070150,Logan,Elkhart (PWS),4/9/19 14:16,2018,250,0,250,0,250,0,0,0,0,0,0,Elkhart,398,Elkhart,village,431,municipality,3005567.114,2544892.543,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,48562.94545,40327926.51
IL0770300,Jackson,Elkville (PWS),4/1/19 10:40,2018,475,0,475,0,265,0,0,0,0,0,210,Elkville,101,Elkville,village,960,municipality,3075584.773,1781550.429,surface water,surface water,reservoir,Lake Kinkaid,,,Kinkaid Reeds Crk Int City WS,IL0775100,3027253.597,1743366.581,YES,0,22258460,22258460,0,0.060940342,18867.50776,21200590.46
IL0530050,Ford,Elliott (PWS),4/16/19 17:59,2018,140,0,140,0,40,35,50,0,10,0,5,Elliott,970,Elliott,village,298,municipality,3338394.956,2710164.192,groundwater,groundwater,,,sand and gravel,,,,,,YES,7787050,0,7787050,0.021319781,0,19989.56057,13351367.91
IL1570200,Randolph,Ellis Grove (PWS),4/15/19 9:04,2018,274,0,274,0,0,0,0,274,0,0,0,Ellis Grove,25,Ellis Grove,village,360,municipality,2882505.461,1817690.72,surface water,surface water,river,Mississippi River,,,Chester,IL1570100,2907552.376,1784819.654,NO,,,,,,21414.58704,13573488.22
IL1130550,McLean,Ellsworth (PWS),6/3/19 10:22,2018,97,0,97,0,0,0,0,0,97,0,0,Ellsworth,928,Ellsworth,village,198,municipality,3217060.9,2702386.829,groundwater,groundwater,,,sand and gravel,,,,,,YES,5117700,0,5117700,0.014011499,0,10872.8688,6282201.29
IL1430300,Peoria,Elmwood (PWS),4/4/19 9:32,2018,833,0,833,9,0,110,98,431,66,0,119,Elmwood,339,Elmwood,city,2136,municipality,2871730.885,2821710.982,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,78015000,0,78015000,0.213593429,0,34027.93891,39341450.23
IL0310780,Cook,Elmwood Park (PWS),4/10/19 16:19,2018,6515,0,6515,6399,0,0,25,0,91,0,0,Elmwood Park,773,Elmwood Park,village,25019,municipality,3456269.503,3239794.687,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-North,IL0316000,3493000,3230000,YES,0,701481000,701481000,0,1.920550308,32257.26659,52724760.9
IL0670010,Hancock,Elvaston (PWS),3/26/19 14:43,2018,85,0,85,0,27,0,0,0,1,0,57,Elvaston,236,Elvaston,village,169,municipality,2515318.977,2686683.172,surface water,surface water,river,Mississippi River,,,Hamilton,IL0670400,2487762.923,2686737.987,YES,0,2239800,2239800,0,0.006132238,29982.73517,22041868.12
IL1970350,Will,Elwood (PWS),4/29/19 8:51,2018,985,0,985,0,20,0,0,0,965,0,0,Elwood,798,Elwood,village,2257,municipality,3381146.315,3052331.799,groundwater,groundwater,,,mixed shallow bedrock and c-o sandstone,,,,,,YES,84320000,0,84320000,0.230855578,0,133497.045,180315901.4
IL1070200,Logan,Emden (PWS),3/19/19 17:43,2018,244,0,244,0,0,0,0,0,233,0,11,Emden,382,Emden,village,453,municipality,3004170.418,2646600.576,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,18744400,0,18744400,0.05131937,0,13503.30355,6465579.179
IL1050300,Livingston,Emington (PWS),3/14/19 9:53,2018,45,0,45,0,0,0,0,0,0,0,45,Emington,959,Emington,village,117,municipality,3313889.655,2892149.93,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,,,,,NO,,,,,,11158.07902,3140963.812
IL1990350,Williamson,Energy (PWS),3/24/19 9:09,2018,549,0,549,0,0,0,0,0,531,0,18,Energy,91,Energy,village,1176,municipality,3136696.009,1732616.867,surface water,surface water,reservoir,Rend Lake,,,Herrin,IL1990400,3135042.777,1741353.479,YES,0,28625570,28625570,0,0.078372539,53518.12718,32953088.02
IL1930200,White,Enfield (PWS),4/9/19 9:50,2018,799,0,799,0,656,0,0,0,0,0,143,Enfield,127,Enfield,village,602,municipality,3332577.118,1853083.525,surface water,surface water,reservoir,Rend Lake,,,Hamilton County Water District,IL0651000,3275150.447,1855856.809,YES,0,19162000,19162000,0,0.052462697,25482.08747,32722043.17
IL0590050,Gallatin,Equality-Wtp (PWS),3/29/19 10:15,2018,416,0,416,0,281,0,0,0,50,0,85,Equality-Wtp,140,Equality,village,617,municipality,3333137.387,1720934.887,groundwater,groundwater,,,sand and gravel,,Saline Valley Conservancy District,IL1655300,3328666.491,1723787.364,NO,,,,,,22611.51624,25037206.85
IL1950200,Whiteside,Erie (PWS),4/10/19 10:33,2018,503,0,503,5,0,0,15,0,470,0,13,Erie,491,Erie,village,1622,municipality,2841815.923,3140380.535,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,,,,,NO,,,,,,34657.00873,40123056.89
IL2030200,Woodford,Eureka-Wtp (PWS),4/4/19 9:46,2018,2125,0,2125,61,100,106,465,531,612,0,250,Eureka-Wtp,357,Eureka,city,5321,municipality,3060244.632,2792804.392,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,237241000,0,237241000,0.649530459,0,102777.6908,84736442.89
IL0310810,Cook,Evanston (PWS),4/10/19 13:23,2018,14597,7,14590,11654,0,1133,196,0,1226,388,0,Evanston,705,Evanston,city,76029,municipality,3488461.797,3285334.484,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,,,,,YES,14576465000,0,14576465000,39.90818617,0,74520.52026,213202152.7
IL1570250,Randolph,Evansville-Wtp (PWS),4/4/19 12:39,2018,441,0,441,0,377,0,1,0,63,0,0,Evansville-Wtp,24,Evansville,village,672,municipality,2876281.24,1846523.834,surface water,surface water,river,Kaskaskia River,,,,,,,NO,,,,,,38157.21234,22498796.32
IL0310840,Cook,Evergreen Park (PWS),4/8/19 13:17,2018,7010,0,7010,6666,0,67,0,0,153,70,54,Evergreen Park,627,Evergreen Park,village,19739,municipality,3488869.547,3167410.281,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-South,IL0316000,3510000,3182000,YES,0,710772040,710772040,0,1.945987789,42627.71255,87355300.57
IL1050350,Livingston,Fairbury-Wtp (PWS),3/13/19 15:16,2018,1736,0,1736,11,620,100,149,0,806,0,50,Fairbury-Wtp,917,Fairbury,city,3711,municipality,3272644.693,2810794.209,groundwater,groundwater,,,sand and gravel,,,,,,YES,133573200,0,133573200,0.365703491,0,88144.81656,49624359.93
IL1910100,Wayne,Fairfield (PWS),4/14/19 20:06,2018,3005,5,3000,9,0,0,10,50,2921,0,15,Fairfield,1354,Fairfield,city,5155,municipality,3321695.948,1953498.966,surface water,surface water,mixed reservoir and river,Little Wabash River; Side Channel Reservoir,,,,,,,NO,,,,,,134731.09,111706111.9
IL1830250,Vermilion,Fairmount (PWS),4/26/19 20:57,2018,295,0,295,0,0,0,0,0,295,0,0,Fairmount,1036,Fairmount,village,642,municipality,3465260.807,2559330.077,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,,,,,YES,22539999,0,22539999,0.061711154,0,19337.96857,8713274.346
IL0570450,Fulton,Fairview (PWS),4/11/19 10:30,2018,240,0,240,0,100,0,120,0,0,0,20,Fairview,266,Fairview,village,534,municipality,2810364.23,2773959.248,mixed,mixed,reservoir,Canton Lake,sand and gravel,,Canton,IL0570250,2850452.536,2743077.691,NO,,,,,,77701.94335,118329648
IL0510150,Fayette,Farina (PWS),4/11/19 8:48,2018,259,0,259,0,0,0,0,0,136,0,123,Farina,1241,Farina,village,495,municipality,3205177.909,2116310.77,surface water,surface water,reservoir,Carlyle Lake,,,Gateway Water Company,IL0270040,3116258.631,2054551.304,NO,,,,,,56134.1135,40378687.45
IL0390150,DeWitt,Farmer City (PWS),4/13/19 19:31,2018,990,0,990,12,120,0,30,0,450,0,378,Farmer City,878,Farmer City,city,1949,municipality,3238061.328,2629482.488,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,67578.73285,67522614.16
IL1350200,Montgomery,Farmersville (PWS),4/15/19 12:12,2018,367,0,367,0,0,0,6,46,227,0,88,Farmersville,1130,Farmersville,village,751,municipality,2957001.123,2336587.885,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,29739.70189,25126016.62
IL0570500,Fulton,Illinois American - Farmington (PWS),3/21/19 13:53,2018,1039,0,1039,0,974,0,1,0,39,0,25,Farmington,347,Farmington,city,2438,municipality,2861172.737,2791584.017,groundwater,groundwater,,,c-o sandstone,,,,,,NO,,,,,,40480.52964,39888217.64
IL1630550,St. Clair,Fayetteville (PWS),3/25/19 14:53,2018,139,1,138,0,1,0,0,0,128,0,10,Fayetteville,1045,Fayetteville,village,377,municipality,2915332.417,1951117.355,surface water,surface water,river,Kaskaskia River,,,S L M Water Commission (SLM),IL1635090,2928127.578,1968519.053,YES,0,12560700,12560700,0,0.034389322,13865.53416,8868462.944
IL0830150,Jersey,Fieldon (PWS),5/9/19 17:47,2018,140,0,140,0,0,140,0,0,0,0,0,Fieldon,1097,Fieldon,village,233,municipality,2717929.221,2217190.521,groundwater,groundwater,,,sand and gravel,,Jerseyville,IL0830250,2766663.868,2219967.445,YES,0,5788800,5788800,0,0.015848871,11874.79493,5522688.452
IL1350250,Montgomery,Fillmore (PWS),4/11/19 9:21,2018,192,0,192,0,192,0,0,0,0,0,0,Fillmore,1153,Fillmore,village,337,municipality,3062525.006,2218132.326,groundwater,groundwater,,,sand and gravel,,,,,,YES,8811000,0,8811000,0.024123203,0,21166.97851,27876516.62
IL1730100,Shelby,Findlay (PWS),4/12/19 9:47,2018,375,0,375,0,0,0,0,0,370,0,5,Findlay,1294,Findlay,village,729,municipality,3209159.808,2366341.952,groundwater,groundwater,,,sand and gravel,,,,,,YES,19393000,0,19393000,0.05309514,0,21652.70811,25469513.84
IL0190150,Champaign,Illinois American - Fisher (PWS),4/12/19 8:30,2018,888,0,888,0,888,0,0,0,0,0,0,Fisher,1008,Fisher,village,1948,municipality,3319129.878,2654907.962,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,YES,52696600,0,52696600,0.144275428,0,36210.12985,35619396.81
IL1830300,Vermilion,Fithian (PWS),4/26/19 20:58,2018,220,0,220,0,0,0,0,0,220,0,0,Fithian,1021,Fithian,village,482,municipality,3452098.83,2584024.197,groundwater,groundwater,,,mixed sand and gravel and shallow bedrock,,,,,,YES,10985400,0,10985400,0.030076386,0,16112.14197,10552635.36
IL1050400,Livingston,Flanagan (PWS),4/16/19 12:14,2018,520,0,520,15,80,0,200,0,75,0,150,Flanagan,941,Flanagan,village,1128,municipality,3176139.606,2857087.334,groundwater,groundwater,,,sand and gravel,,,,,,NO,,,,,,21079.70717,14757144.44
IL0330050,Crawford,Flat Rock (PWS),3/20/19 15:04,2018,185,0,185,0,0,0,0,0,183,0,2,Flat Rock,1323,Flat Rock,village,303,municipality,3516991.383,2146572.458,groundwater,groundwater,,,sand and gravel,,Hardinville Water Co,IL0330020,3470386.311,2149811.727,YES,0,10096000,10096000,0,0.027641342,22413.91829,23585174.39
IL0250100,Clay,Flora (PWS),3/22/19 8:42,2018,2752,2,2750,0,736,1515,44,0,420,0,37,Flora,1251,Flora,city,5055,municipality,3290771.915,2057917.197,surface water,surface water,reservoir,Carlyle Lake,,,Gateway Water Company,IL0270040,3116258.631,2054551.304,NO,,,,,,86135.21729,130435816.6
IL0310870,Cook,Flossmoor (PWS),5/8/19 15:59,2018,3746,1,3745,119,3340,154,133,0,0,0,0,Flossmoor,851,Flossmoor,village,9485,municipality,3494428.564,3101428.701,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Homewood,IL0311350,3501020.883,3108809.736,YES,0,427707000,427707000,0,1.170997947,87719.05484,101043685.5
IL1250010,Mason,Forest City (PWS),3/18/19 10:21,2018,105,0,105,0,0,0,0,0,0,0,105,Forest City,391,Forest City,village,243,municipality,2907859.332,2673572.209,groundwater,groundwater,,,sand and gravel,Mahomet Aquifer,,,,,NO,,,,,,20512.70727,14419397.74
IL0310900,Cook,Forest Park (PWS),3/29/19 10:10,2018,3427,0,3427,2755,0,0,0,0,516,156,0,Forest Park,772,Forest Park,village,14162,municipality,3456810.39,3220172.808,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-North,IL0316000,3493000,3230000,YES,0,1115651724,1115651724,0,3.054487951,49212.46928,66384128.16
IL0310930,Cook,Forest View (PWS),4/8/19 12:44,2018,298,0,298,166,41,88,3,0,0,0,0,Forest View,742,Forest View,village,698,municipality,3464222.167,3197337.207,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-South,IL0316000,3510000,3182000,YES,0,44894960,44894960,0,0.122915702,47304.1412,33083740.66
IL1050450,Livingston,Forrest (PWS),4/12/19 11:32,2018,492,0,492,0,0,0,152,0,290,0,50,Forrest,958,Forrest,village,1217,municipality,3300608.522,2812435.273,groundwater,groundwater,,,sand and gravel,,,,,,YES,37273000,0,37273000,0.102047912,0,44507.06836,18675241.58
IL1410200,Ogle,Forreston (PWS),4/30/19 14:10,2018,754,0,754,252,0,241,3,0,10,0,248,Forreston,477,Forreston,village,1441,municipality,2978881.427,3309632.123,groundwater,groundwater,,,c-o sandstone,,,,,,YES,42725000,0,42725000,0.116974675,0,27701.36699,24981526.98
IL1150200,Macon,Forsyth (PWS),3/27/19 14:38,2018,1309,0,1309,0,0,775,0,0,534,0,0,Forsyth,899,Forsyth,village,3562,municipality,3149506.769,2512219.696,groundwater,groundwater,,,sand and gravel,,,,,,YES,,,,,,77403.10082,87345269.35
IL0970200,Lake,Fox Lake (PWS),1/18/19 13:10,2018,2585,0,2585,2,1676,0,12,0,893,0,2,Fox Lake,187,Fox Lake,village,10563,municipality,3354235.536,3412637.237,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,232512950,0,232512950,0.636585763,0,249872.5789,274956139.9
IL0975550,Lake,LCPWD - Fox Lake Hills Subdivision (PWS),4/11/19 8:31,2018,848,0,848,0,0,0,0,0,848,0,0,LC - Fox Lake Hills Subdivision,190,Fox Lake Hills,CDP,2591,municipality,3368072.011,3415929.661,groundwater,groundwater,,,sand and gravel,,LCPW - Fox Lake Hills,IL0975550,3369226,3412337,YES,0,56646266,56646266,0,0.155089024,36292.82476,50168040.6
IL1110200,McHenry,Fox River Grove (PWS),3/19/19 8:54,2018,1724,0,1724,0,0,609,0,0,1115,0,0,Fox River Grove,672,Fox River Grove,village,4881,municipality,3343835.304,3336114.252,groundwater,groundwater,,,shallow bedrock,,,,,,YES,157065000,0,157065000,0.430020534,0,50368.02415,49199113.01
IL1970400,Will,Frankfort (PWS),4/5/19 9:47,2018,11086,0,11086,0,11086,0,0,0,0,0,0,Frankfort,834,Frankfort,village,18132,municipality,3451738.308,3080765.203,groundwater,groundwater,,,shallow bedrock,,,,,,YES,1381217000,0,1381217000,3.781566051,0,356865.2207,413848534.7
IL1370150,Morgan,Franklin (PWS),3/25/19 9:54,2018,373,1,372,0,0,0,0,49,189,0,135,Franklin,1124,Franklin,village,608,municipality,2846749.915,2401242.472,mixed,mixed,reservoir,Lake Mauvaise Terre,sand and gravel,Illinois River Alluvial Aquifer,Jacksonville,IL1370200,2795425.942,2441115.106,YES,0,32020000,32020000,0,0.087665982,30450.08129,20503464.02
IL1030250,Lee,Franklin Grove (PWS),7/19/19 10:04,2018,371,0,371,0,120,0,100,0,100,0,51,Franklin Grove,484,Franklin Grove,village,984,municipality,3054132.38,3206047.712,groundwater,groundwater,,,c-o sandstone,,,,,,NO,,,,,,27395.13646,13391492.23
IL0310960,Cook,Franklin Park (PWS),5/6/19 12:17,2018,5898,0,5898,3235,0,0,23,0,2633,7,0,Franklin Park,771,Franklin Park,village,18351,municipality,3442362.57,3243905.807,surface water,Lake Michigan,Lake Michigan,Lake Michigan,,,Chicago-North,IL0316000,3493000,3230000,YES,0,1274569640,1274569640,0,3.489581492,125301.616,131772143.8
IL1630600,St. Clair,Freeburg (PWS),4/10/19 9:22,2018,2071,1,2070,0,986,0,0,0,1085,0,0,Freeburg,1184,Freeburg,village,4373,municipality,2874481.1,1973500.796,surface water,surface water,river,Mississippi River,,,FSH Water Commission,IL1635300,2878268.65,1960275.293,NO,,,,,,264427.9292,193805076.9
IL1994420,Williamson,Freeman Spur (PWS),4/1/19 10:52,2018,131,0,131,0,35,0,0,0,40,0,56,Freeman Spur,78,Freeman Spur,village,287,municipality,3143829.778,1764132.396,surface water,surface water,reservoir,Rend Lake,,,Rend Lake Inter-City Water System,IL0555100,3156727.94,1832380.974,NO,,,,,,16547.14281,11089873.23
IL1770200,Stephenson,Freeport (PWS),4/8/19 11:10,2018,13382,0,13382,2934,676,8829,76,2,0,462,403,Freeport,474,Freeport,city,25918,municipality,2963570.721,3368641.563,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,1231041000,0,1231041000,3.370406571,0,209610.8278,326054674.5
IL1950250,Whiteside,Fulton (PWS),4/10/19 10:32,2018,1700,0,1700,5,0,0,15,0,1650,0,30,Fulton,457,Fulton,city,3446,municipality,2821628.735,3215220.357,groundwater,groundwater,,,c-o sandstone,,,,,,YES,101872000,0,101872000,0.278910335,0,45870.74708,64601680.65
IL1650150,Saline,Galatia (PWS),3/28/19 15:02,2018,454,452,2,0,0,0,0,0,0,0,454,Galatia,119,Galatia,village,948,municipality,3254300.62,1757835.937,surface water,surface water,reservoir,Rend Lake,,,Rend Lake Inter-City Water System,IL0555100,3156727.94,1832380.974,YES,0,168107000,168107000,0,0.460251882,29667.26714,54659300.81
IL0850200,Jo Daviess,Galena (PWS),3/29/19 12:16,2018,2025,0,2025,1,1113,281,0,0,539,0,91,Galena,149,Galena,city,3391,municipality,2749750.223,3418258.309,groundwater,groundwater,,,c-o sandstone,,,,,,YES,140977000,0,140977000,0.38597399,0,106101.1059,115372172.1
IL0950200,Knox,Galesburg (PWS),4/8/19 11:40,2018,12243,7,12236,1871,399,0,132,0,5763,68,4010,Galesburg,284,Galesburg,city,31951,municipality,2759695.251,2884699.221,groundwater,groundwater,,,mixed sand and gravel and c-o sandstone,,,,,,YES,2134532000,0,2134532000,5.844030116,0,337041.0164,494856589.1
IL0730450,Henry,Galva (PWS),5/10/19 13:33,2018,1292,0,1292,99,427,0,10,0,620,0,136,Galva,509,Galva,city,2649,municipality,2853158.897,2961693.053,groundwater,groundwater,,,mixed shallow bedrock and c-o sandstone,,,,,,YES,92248300,0,92248300,0.252562081,0,73379.73207,78850904.82
IL0630400,Grundy,Gardner (PWS),5/8/19 14:56,2018,589,0,589,0,0,0,0,0,500,0,89,Gardner,786,Gardner,village,1461,municipality,3325430.703,2972253.562,groundwater,groundwater,,,mixed shallow bedrock and c-o sandstone,,,,,,YES,50181000,0,50181000,0.13738809,0,74243.6079,81273103.78
IL0410010,Douglas,Garrett (PWS),3/13/19 19:44,2018,65,0,65,0,0,0,0,0,65,0,0,Garrett,873,Garrett,village,158,municipality,3300605.697,2466735.817,groundwater,groundwater,,,sand and gravel,,Atwood,IL0414060,3289938.461,2467454.281,NO,,,,,,14346.43393,3693186.712
